name	status	conclusion	html_url
Record autofix dispatch completion	completed	skipped	https://github.com/stranske/Ready/actions/runs/34661077850/job/103463555957
autofix	completed	skipped	https://github.com/stranske/Ready/actions/runs/34661077850/job/103463555851
Resolve Context	completed	success	https://github.com/stranske/Ready/actions/runs/34661077850/job/103463530724
Python CI / logs summary	completed	success	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463488204
Python CI / python 3.12	completed	success	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463396653
Python CI / python 3.13	completed	success	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463396496
Python CI / typecheck-mypy	completed	success	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463375289
Python CI / lint-ruff	completed	success	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463375279
Python CI / select reusable CI scope	completed	success	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463375271
Python CI / lint-format	completed	failure	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463375265
cross-repo smoke	completed	skipped	https://github.com/stranske/Ready/actions/runs/34661021863/job/103463364394
Python CI / Validate inputs	completed	success	https://github.com/stranske/Ready/actions/runs/34661021852/job/103463363658
